year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2003,42,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.819543936,123.9085676
2004,53,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2008,49,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.631919406,279.197497
2004,46,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4,54.59815003
2008,40,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,5.041392685,154.685293
2003,41,Never Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.193124598,180.0301971
2006,41,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2009,36,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.477121255,87.98103279
2003,34,Married,Black,Some College,Middle Atlantic,Information,Good,No,4.51851394,91.69922611
2004,24,Never Married,White,Some College,Middle Atlantic,Information,Very Good,No,4.079181246,59.09706408
2008,44,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.819543936,123.9085676
2007,33,Married,Black,College Grad,Middle Atlantic,Information,Very Good,No,4.698970004,109.8339856
2007,25,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.544068044,94.07271475
2005,40,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.763427994,117.1468169
2007,48,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.176091259,65.11085372
2005,56,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.579783597,97.49329405
2005,25,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.770852012,118.0197533
2005,44,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.954242509,141.7751723
2003,27,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.755112266,116.1766952
2006,58,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.322219295,75.35567932
2008,52,Divorced,Black,College Grad,Middle Atlantic,Information,Very Good,Yes,4.556302501,95.23071257
2007,60,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,Good,Yes,4.716003344,111.7208494
2008,39,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.643452676,103.9024706
2004,51,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.991226076,147.1166892
2007,31,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.477121255,87.98103279
2005,45,Widowed,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.77815125,118.8843593
2005,43,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.612783857,100.7642728
2008,45,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.792391689,120.5894365
2004,40,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,5.267171728,193.8668781
2008,46,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2009,51,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.590617833,267.9010869
2006,47,Divorced,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.161368002,174.402876
2004,52,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.897627091,133.9715001
2003,31,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,5.041392685,154.685293
2007,40,Married,Black,College Grad,Middle Atlantic,Information,Very Good,Yes,5.041392685,154.685293
2009,26,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2004,49,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.556302501,95.23071257
2009,38,Divorced,White,Some College,Middle Atlantic,Industrial,Good,No,4.698970004,109.8339856
2005,50,Married,Other,Below HS Grad,Middle Atlantic,Information,Good,No,4.716003344,111.7208494
2006,63,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.903089987,134.7053751
2008,35,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.453195986,85.90104432
2008,29,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.77815125,118.8843593
2008,33,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.477121255,87.98103279
2007,29,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.531478917,92.89584479
2007,62,Divorced,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2008,45,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.826074803,124.7204462
2003,56,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.851258349,127.901233
2003,58,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.579783597,97.49329405
2007,39,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.290034611,198.3502905
2005,49,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.531478917,92.89584479
2004,24,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,No,4.544068044,94.07271475
2003,61,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,5,148.4131591
2008,58,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.380211242,79.85490031
2009,47,Married,Asian,Some College,Middle Atlantic,Information,Very Good,No,4.77815125,118.8843593
2004,41,Separated,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.477121255,87.98103279
2008,71,Married,White,Below HS Grad,Middle Atlantic,Information,Good,Yes,4.544068044,94.07271475
2006,47,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,5.01110503,150.0704769
2005,38,Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,5.176091259,176.9896505
2005,31,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.301029996,73.77574327
2007,56,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,4.829303773,125.1238157
2006,44,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.626899559,277.7994802
2003,33,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.681241237,107.9039239
2005,36,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.106598813,60.73977852
2006,31,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.522183318,92.0363233
2004,55,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2005,48,Married,White,College Grad,Middle Atlantic,Information,Very Good,No,4.204119983,66.96164432
2005,50,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2006,42,Married,White,College Grad,Middle Atlantic,Information,Very Good,No,5.139879086,170.6951277
2008,25,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2008,55,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.84509804,127.1157438
2004,28,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.763427994,117.1468169
2003,30,Married,Other,Below HS Grad,Middle Atlantic,Information,Good,No,4.812913357,123.0896998
2008,46,Never Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.792391689,120.5894365
2004,48,Divorced,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.875061263,130.9821774
2006,42,Divorced,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.397940009,81.28325328
2008,23,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,3.602059991,36.6737042
2003,60,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,No,4.653212514,104.9215065
2008,34,Married,Black,Below HS Grad,Middle Atlantic,Information,Very Good,Yes,4.309630167,74.41296351
2003,45,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.860338007,129.0678205
2007,28,Never Married,White,Some College,Middle Atlantic,Industrial,Good,No,4.432006687,84.10001012
2004,33,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.225309282,185.9186629
2008,58,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.662757832,105.9278108
2008,47,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.096910013,163.515864
2003,24,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.146128036,63.188861
2008,56,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.903089987,134.7053751
2004,56,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.79518459,120.9267015
2005,23,Never Married,Other,College Grad,Middle Atlantic,Information,Good,Yes,4.544068044,94.07271475
2003,56,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.886490725,132.4878211
2003,45,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.892094603,133.2323508
2009,58,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.977723605,145.1436012
2007,30,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.77815125,118.8843593
2009,46,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,No,5.012837225,150.3306535
2004,48,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.631084414,278.9644667
2006,50,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.587710965,98.26923081
2008,43,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.602059991,99.6894637
2006,37,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.544068044,94.07271475
2003,49,Divorced,White,Some College,Middle Atlantic,Information,Very Good,No,5.176091259,176.9896505
2009,31,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,5.113943352,166.3249412
2009,54,Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.544068044,94.07271475
2007,52,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.939519253,139.7030715
2003,70,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.361727836,78.3924668
2005,30,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.954247335,141.7758565
2006,44,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.755874856,116.2653241
2003,34,Married,Asian,College Grad,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2007,38,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.477121255,87.98103279
2006,28,Separated,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.505149978,90.48191336
2005,38,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.954242509,141.7751723
2003,39,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.144605339,63.09271673
2008,52,Never Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.176091259,65.11085372
2004,34,Never Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.021189299,151.5914842
2003,33,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.812913357,123.0896998
2007,45,Married,White,College Grad,Middle Atlantic,Industrial,Good,Yes,4.77815125,118.8843593
2006,58,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.380211242,79.85490031
2003,38,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.644438589,104.0049599
2007,63,Married,White,College Grad,Middle Atlantic,Industrial,Good,No,4.017033339,55.53610442
2007,38,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.602059991,99.6894637
2007,31,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.602059991,99.6894637
2007,53,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.265032557,193.4526069
2009,21,Never Married,Black,HS Grad,Middle Atlantic,Information,Good,Yes,4.633468456,102.8702469
2006,38,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.103803721,164.6469889
2004,18,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.243038049,69.6190369
2008,28,Never Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2003,33,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.740362689,114.4757133
2004,32,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.602059991,99.6894637
2009,29,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.556302501,95.23071257
2005,28,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.414973348,82.6796373
2005,42,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.761687332,116.9430813
2007,28,Widowed,White,Below HS Grad,Middle Atlantic,Information,Good,No,4,54.59815003
2009,36,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.929418926,138.2991269
2007,47,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2007,53,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.641005851,281.7459706
2003,48,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.096910013,163.515864
2006,36,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,5.18858541,179.214858
2007,55,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.838849091,126.3238807
2008,37,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.255272505,70.47601965
2009,68,Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.770852012,118.0197533
2003,65,Married,Other,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.267171728,71.31963879
2007,37,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,No,4.740362689,114.4757133
2007,33,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.929418926,138.2991269
2003,19,Never Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4,54.59815003
2004,50,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.544068044,94.07271475
2004,22,Never Married,White,Some College,Middle Atlantic,Industrial,Good,No,4.387389826,80.43020795
2004,40,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.491361694,89.24288466
2008,45,Married,White,Some College,Middle Atlantic,Industrial,Very Good,No,4.763427994,117.1468169
2009,36,Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,No,4.84509804,127.1157438
2005,37,Married,Asian,Below HS Grad,Middle Atlantic,Industrial,Very Good,No,4.397940009,81.28325328
2003,24,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,3.959041392,52.40706405
2007,66,Married,Black,Below HS Grad,Middle Atlantic,Information,Very Good,Yes,4.602059991,99.6894637
2004,35,Married,Asian,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.146128036,63.188861
2009,33,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.278753601,196.1252726
2005,44,Married,White,Some College,Middle Atlantic,Industrial,Good,Yes,4.62324929,101.8243521
2004,48,Never Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.681241237,107.9039239
2009,47,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,3.936513742,51.23965492
2004,41,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2005,55,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.146128036,63.188861
2008,74,Divorced,Black,Advanced Degree,Middle Atlantic,Information,Very Good,No,5,148.4131591
2007,33,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.602059991,99.6894637
2003,62,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.875061263,130.9821774
2004,56,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.62324929,101.8243521
2006,29,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.602059991,99.6894637
2009,56,Never Married,Black,Below HS Grad,Middle Atlantic,Information,Good,No,4.380211242,79.85490031
2009,47,Married,Black,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.079181246,160.6424754
2005,45,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.903089987,134.7053751
2007,44,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.079181246,160.6424754
2004,25,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.51851394,91.69922611
2005,45,Divorced,Black,Some College,Middle Atlantic,Information,Very Good,No,4.322219295,75.35567932
2005,40,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.913813852,136.1577108
2003,56,Married,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.903089987,134.7053751
2005,56,Married,Asian,Some College,Middle Atlantic,Information,Very Good,Yes,4.40654018,81.98531783
2003,47,Married,Asian,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.176091259,176.9896505
2007,39,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.778165727,118.8860804
2005,38,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.797959644,121.2627457
2009,48,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.544068044,94.07271475
2005,44,Married,Black,HS Grad,Middle Atlantic,Industrial,Good,No,4.602059991,99.6894637
2003,42,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.819543936,123.9085676
2009,55,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2006,61,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,No,4.414973348,82.6796373
2006,39,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.397940009,81.28325328
2005,30,Married,Black,Some College,Middle Atlantic,Industrial,Very Good,No,4.653212514,104.9215065
2009,49,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.602059991,99.6894637
2006,33,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.913813852,136.1577108
2006,31,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.397940009,81.28325328
2005,35,Never Married,Asian,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.226960594,68.50868966
2003,55,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.397940009,81.28325328
2008,36,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.740362689,114.4757133
2003,37,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.770852012,118.0197533
2006,33,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2006,48,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.77815125,118.8843593
2004,47,Married,Asian,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2003,60,Married,White,Some College,Middle Atlantic,Information,Good,Yes,4.812913357,123.0896998
2004,28,Never Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.698970004,109.8339856
2005,28,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.633468456,102.8702469
2005,48,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.096910013,163.515864
2009,29,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,No,4.763427994,117.1468169
2004,40,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.525044807,92.30006143
2009,32,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.605305046,100.0134869
2004,33,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.008600172,55.06972842
2003,40,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.62324929,101.8243521
2004,42,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,5,148.4131591
2003,36,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.748188027,115.3750386
2004,39,Married,Black,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.301029996,73.77574327
2009,44,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.590617833,267.9010869
2009,43,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.86332286,129.4536446
2008,44,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.568201724,96.37065283
2006,29,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.477121255,87.98103279
2007,49,Married,Black,Some College,Middle Atlantic,Information,Very Good,Yes,4.653212514,104.9215065
2007,47,Married,Black,Some College,Middle Atlantic,Information,Very Good,Yes,4.875061263,130.9821774
2004,46,Married,Asian,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.249902444,190.5476786
2006,41,Divorced,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.770852012,118.0197533
2008,52,Married,White,HS Grad,Middle Atlantic,Information,Good,No,4.380211242,79.85490031
2003,43,Divorced,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.283301229,72.4793163
2004,38,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2003,42,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.310055738,74.4446382
2005,56,Married,Black,College Grad,Middle Atlantic,Industrial,Very Good,No,4.77815125,118.8843593
2003,39,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.857332496,128.6804882
2005,29,Married,Black,Some College,Middle Atlantic,Information,Very Good,Yes,4.477121255,87.98103279
2009,33,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.590617833,267.9010869
2004,33,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.653212514,104.9215065
2004,41,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4.531478917,92.89584479
2004,44,Never Married,Black,Below HS Grad,Middle Atlantic,Information,Good,Yes,4.255272505,70.47601965
2005,45,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.301029996,200.5432623
2004,58,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.633468456,102.8702469
2005,29,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.633468456,102.8702469
2004,42,Divorced,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.176091259,65.11085372
2008,68,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2005,47,Married,White,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.84509804,127.1157438
2005,30,Married,Black,College Grad,Middle Atlantic,Information,Very Good,No,4.544068044,94.07271475
2005,39,Married,White,Below HS Grad,Middle Atlantic,Information,Very Good,No,4.217483944,67.86252341
2008,42,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.832508913,125.5254984
2006,49,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,5.10720997,165.2087738
2009,36,Never Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.397940009,81.28325328
2003,44,Married,Asian,HS Grad,Middle Atlantic,Information,Good,Yes,4.72427587,112.6488963
2009,54,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.342422681,76.89360252
2003,42,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.318063335,75.04315402
2003,39,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.857332496,128.6804882
2008,30,Married,Asian,HS Grad,Middle Atlantic,Information,Very Good,No,4.079181246,59.09706408
2004,33,Never Married,Black,HS Grad,Middle Atlantic,Information,Very Good,No,4.155336037,63.7733912
2003,28,Married,White,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.431363764,84.04595765
2003,38,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.542626278,93.93718158
2005,30,Married,Other,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.414973348,82.6796373
2008,25,Never Married,White,Advanced Degree,Middle Atlantic,Industrial,Very Good,Yes,4.77815125,118.8843593
2007,52,Married,Black,HS Grad,Middle Atlantic,Information,Very Good,Yes,4.397940009,81.28325328
2007,26,Married,White,HS Grad,Middle Atlantic,Industrial,Good,No,4.204119983,66.96164432
2009,54,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,5.113943352,166.3249412
2005,62,Married,White,College Grad,Middle Atlantic,Information,Very Good,No,4.602059991,99.6894637
2009,57,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,Yes,4.954242509,141.7751723
2003,32,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.963787827,143.1349408
2003,60,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,3.556302501,35.03342132
2004,40,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,4.698970004,109.8339856
2005,49,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.709659972,111.0144055
2006,54,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.886490725,132.4878211
2009,48,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5,148.4131591
2009,35,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.301029996,73.77574327
2009,46,Divorced,White,HS Grad,Middle Atlantic,Information,Good,Yes,4.967725776,143.6997101
2007,42,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.602059991,99.6894637
2004,58,Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.606885241,272.2947832
2003,30,Never Married,White,College Grad,Middle Atlantic,Information,Very Good,Yes,5.301029996,200.5432623
2008,27,Never Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.447189051,85.38658902
2008,55,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2004,50,Married,White,HS Grad,Middle Atlantic,Industrial,Very Good,No,4.111732857,61.05242105
2006,55,Divorced,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.77815125,118.8843593
2006,40,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.982271233,145.8051634
2005,32,Married,White,HS Grad,Middle Atlantic,Information,Good,No,4.72427587,112.6488963
2006,27,Married,White,HS Grad,Middle Atlantic,Industrial,Good,Yes,4.672097858,106.9218141
2007,49,Married,White,Some College,Middle Atlantic,Information,Very Good,Yes,4.672097858,106.9218141
2007,50,Married,White,College Grad,Middle Atlantic,Information,Good,Yes,4.84509804,127.1157438
2006,50,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,Yes,4.477121255,87.98103279
2008,44,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,4.973127854,144.4780877
2007,57,Married,Asian,Advanced Degree,Middle Atlantic,Information,Good,Yes,5.07773118,160.409702
2008,72,Married,Black,Advanced Degree,Middle Atlantic,Industrial,Good,No,4.477121255,87.98103279
2006,23,Never Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.176091259,65.11085372
2007,31,Never Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.176091259,176.9896505
2008,36,Married,White,HS Grad,Middle Atlantic,Information,Very Good,No,4,54.59815003
2009,63,Married,Black,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.698970004,109.8339856
2006,48,Married,White,Below HS Grad,Middle Atlantic,Industrial,Good,No,4.403034684,81.69842172
2005,46,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,No,4.740362689,114.4757133
2003,55,Married,White,College Grad,Middle Atlantic,Industrial,Very Good,Yes,4.960285223,142.6344728
2007,44,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.079181246,160.6424754
2006,44,Married,White,Some College,Middle Atlantic,Industrial,Very Good,Yes,4.544068044,94.07271475
2004,32,Married,Other,Below HS Grad,Middle Atlantic,Industrial,Good,No,4,54.59815003
2003,60,Married,White,Below HS Grad,Middle Atlantic,Industrial,Very Good,Yes,4.301029996,73.77574327
2004,42,Married,White,Advanced Degree,Middle Atlantic,Information,Very Good,Yes,5.079181246,160.6424754
